Study,Species common name,Species,Regne,Phyla,Classe,Ordre,Factor,Factor variation,Crossing/wild,Method,Type of h? (narrow / broad),comment,Which is stressful?,Stress (heat/acidity/drought/wet),trait,trait type (lht/morpho/physio/behav),error type,h? mild environment,se h? mild,range of CI mild,SE m,h? harsh environment,se h? harsh environment,range of CI harsh,SE h,error type,evolvability mild environment,se evolvability mild environment,evolvability harsh environment,se evolvability harsh environment,error type,Evol_Mild,Evol_Harsh,Va mild environment,se Va mild environment,Va harsh environment,se Va harsh environment,Vp mild,Vp harsh,mean mild,se mean mild,mean harsh,se mean harsh,ISSN,Publication Year,Volume,Issue,Start Page,End Page,Article Number,DOI,Early Access Date,UT (Unique WOS ID)
35,damselfly,Ischnura elegans,Aniimalia,Chordata,Insecta,Odonata,temperature,Lab experiment,offspring of wild pairs,hafl/full sib animal model,narrow sense,France,+ 6C,heat,larval growth rate,LHT,95% CI,0.6,.38-.83,0.45,0.114795918,0.68,.38-.88,0.5,0.12755102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,great tit,Parus major,Aniimalia,Chordata,Aves,Passeriformes,temperature,Natural variation,wild individuals,animal model,narrow sense,take the extreme from Random regression | Hoge Veluwe,+1 (std),heat,laying date,LHT,none,0.09,,,NA,0.265,,,NA,none,9.32,,21.523,,se,9.32,21.523,2.788,1.435,11.416,3.954,31.047,43.055,,,,,0037-5349,2010,59,02-mars,49,57,,10.1515/sg-2010-0006,,WOS:000281546800001
36,great tit,Parus major,Aniimalia,Chordata,Aves,Passeriformes,temperature,Natural variation,wild individuals,animal model,narrow sense,Wytham Woods,+1 (std),heat,laying date,LHT,none,0.133,,,NA,0.116,,,NA,none,9.119,,17.034,,se,9.119,17.034,5.178,0.839,5.153,1.666,41.252,44.247,,,,,,,,,,,,,,
37,Arctic charr,Salvelinus alpinus,Aniimalia,Chordata,Actinopterygii,Salmoniformes,Temperature,Lab experiment,hatchery brood stock,hafl/full sib animal model,broad sense,,Warmer temperatures (7 degrees),heat,Embryo survival,LHT,none,0.03,,,NA,0,,,NA,,,,,,none,,,1.79,,0,,,,,,,,0962-1083,2008,17,1,179,188,,10.1111/j.1365-294X.2007.03436.x,,WOS:000251740500015
37,Arctic charr,Salvelinus alpinus,Aniimalia,Chordata,Actinopterygii,Salmoniformes,Temperature,Lab experiment,hatchery brood stock,hafl/full sib animal model,broad sense,,,heat,Larval standard length,Morphology,none,0.42,,,NA,0.3,,,NA,,,,,,none,,,0.46,,0.48,,,,,,,,,,,,,,,,,
37,Arctic charr,Salvelinus alpinus,Aniimalia,Chordata,Actinopterygii,Salmoniformes,Temperature,Lab experiment,hatchery brood stock,hafl/full sib animal model,broad sense,,,heat,Yolk sac volume,Morphology,none,0.005,,,NA,0.16,,,NA,,,,,,none,,,0.81,,24.99,,,,,,,,,,,,,,,,,
39,great tit,Parus major,Aniimalia,Chordata,Aves,Passeriformes,Temperature,Natural variation,Wild individuals,animal model,narrow sense,,warming,heat,Laying date,LHT,se,0.29,0.05,,0.05,0.26,0.05,,0.05,,,,,,se,0.101002209,0.095886177,0.79,0.12,0.68,0.12,2.73,2.58,8.8,,8.6,,0014-3820,2004,58,7,1459,1471,,,,WOS:000222982800006
39,great tit,Parus major,Aniimalia,Chordata,Aves,Passeriformes,Temperature,Natural variation,Wild individuals,animal model,narrow sense,,,heat,Clutch size,LHT,se,0.16,0.03,,0.03,0.09,0.03,,0.03,,,,,,se,0.088753655,0.102203335,7.57,1.48,5.43,1.36,48.02,58.1,31,,22.8,,,,,,,,,,,
39,great tit,Parus major,Aniimalia,Chordata,Aves,Passeriformes,Temperature,Natural variation,Wild individuals,animal model,narrow sense,,,heat,Egg mass,Morphology,se,0.45,0.06,,0.06,0.51,0.06,,0.06,,,,,,se,0.053582161,0.054223863,0.0082,0.001,0.0082,0.0009,0.0182,0.0159,1.69,,1.67,,,,,,,,,,,
41,Partridge pea,Chamaecrista fasciculata,Plantae,Angiosperm,Eudicots,Fabales,Draught resistance,"Field experiment, reciprocal transplant",offspring of wild pairs,hafl/full sibs,narrow sense,North population (less arid),Aridity,drought,Fecundity,LHT,none,0.004,,,NA,0.044,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Partridge pea,Chamaecrista fasciculata,Plantae,Angiosperm,Eudicots,Fabales,Draught resistance,"Field experiment, reciprocal transplant",offspring of wild pairs,hafl/full sibs,narrow sense,North population (less arid),Aridity,drought,Reproduction,LHT,none,0.065,,,NA,0.215,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Partridge pea,Chamaecrista fasciculata,Plantae,Angiosperm,Eudicots,Fabales,Draught resistance,"Field experiment, reciprocal transplant",offspring of wild pairs,hafl/full sibs,narrow sense,North population (less arid),Aridity,drought,Leaf number,Morphology,none,0.053,,,NA,0.225,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Partridge pea,Chamaecrista fasciculata,Plantae,Angiosperm,Eudicots,Fabales,Draught resistance,"Field experiment, reciprocal transplant",offspring of wild pairs,hafl/full sibs,narrow sense,North population (less arid),Aridity,drought,Leaf area,Morphology,none,0.181,,,NA,0.266,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Partridge pea,Chamaecrista fasciculata,Plantae,Angiosperm,Eudicots,Fabales,Draught resistance,"Field experiment, reciprocal transplant",offspring of wild pairs,hafl/full sibs,narrow sense,South population (more arid),Aridity,drought,Fecundity,LHT,none,0.225,,,NA,0.276,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Partridge pea,Chamaecrista fasciculata,Plantae,Angiosperm,Eudicots,Fabales,Draught resistance,"Field experiment, reciprocal transplant",offspring of wild pairs,hafl/full sibs,narrow sense,South population (more arid),Aridity,drought,Reproduction,LHT,none,0.225,,,NA,0.276,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Partridge pea,Chamaecrista fasciculata,Plantae,Angiosperm,Eudicots,Fabales,Draught resistance,"Field experiment, reciprocal transplant",offspring of wild pairs,hafl/full sibs,narrow sense,South population (more arid),Aridity,drought,Leaf number,Morphology,none,0.276,,,NA,0.102,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Partridge pea,Chamaecrista fasciculata,Plantae,Angiosperm,Eudicots,Fabales,Draught resistance,"Field experiment, reciprocal transplant",offspring of wild pairs,hafl/full sibs,narrow sense,South population (more arid),Aridity,drought,Leaf area,Morphology,none,0.102,,,NA,0.225,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Scots pine,Pinus sylvestris,Plantae,Gymnosperms,Pinopsida,Pinales,Temperature and water limitation,Lab experiment,Offspring of clones from two populaitons,Half-sibs,broad sense,Central population | 18?C,drought (temperature unclear as performances under 25 are good),drought,Height,Morphology,se,0.73,0.18,,0.18,0.52,0.15,,0.15,none,16.3,,12.6,,,16.3,12.6,,,,,,,,,,,,,,,,,,,,
42,Scots pine,Pinus sylvestris,Plantae,Gymnosperms,Pinopsida,Pinales,Temperature and water limitation,Lab experiment,Offspring of clones from two populaitons,Half-sibs,broad sense,Central population | 18?C,drought (temperature unclear as performances under 25 are good),drought,Height increment,Morphology,se,0.8,0.19,,0.19,0.43,0.14,,0.14,none,20.1,,14.3,,,20.1,14.3,,,,,,,,,,,,,,,,,,,,
42,Scots pine,Pinus sylvestris,Plantae,Gymnosperms,Pinopsida,Pinales,Temperature and water limitation,Lab experiment,Offspring of clones from two populaitons,Half-sibs,broad sense,Central population | 18?C,drought (temperature unclear as performances under 25 are good),drought,Shoot dry weight,Morphology,se,0.82,0.2,,0.2,0.41,0.13,,0.13,none,30.6,,13.9,,,30.6,13.9,,,,,,,,,,,,,,,,,,,,
42,Scots pine,Pinus sylvestris,Plantae,Gymnosperms,Pinopsida,Pinales,Temperature and water limitation,Lab experiment,Offspring of clones from two populaitons,Half-sibs,broad sense,Central population | 18?C,drought (temperature unclear as performances under 25 are good),drought,Root dry weight,Morphology,se,0.56,0.16,,0.16,0.44,0.14,,0.14,none,25.7,,18.1,,,25.7,18.1,,,,,,,,,,,,,,,,,,,,
42,Scots pine,Pinus sylvestris,Plantae,Gymnosperms,Pinopsida,Pinales,Temperature and water limitation,Lab experiment,Offspring of clones from two populaitons,Half-sibs,broad sense,Central population | 18?C,drought (temperature unclear as performances under 25 are good),drought,Total dry weight,Morphology,se,0.81,0.19,,0.19,0.49,0.15,,0.15,none,28.3,,14.1,,,28.3,14.1,,,,,,,,,,,,,,,,,,,,
42,Scots pine,Pinus sylvestris,Plantae,Gymnosperms,Pinopsida,Pinales,Temperature and water limitation,Lab experiment,Offspring of clones from two populaitons,Half-sibs,broad sense,Central population | 18?C,drought (temperature unclear as performances under 25 are good),drought,Root/shoot ratio,Morphology,se,0.07,0.07,,0.07,0.27,0.11,,0.11,none,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Scots pine,Pinus sylvestris,Plantae,Gymnosperms,Pinopsida,Pinales,Temperature and water limitation,Lab experiment,Offspring of clones from two populaitons,Half-sibs,broad sense,South population | 18?C,drought (temperature unclear as performances under 25 are good),drought,Height,Morphology,se,0.47,0.16,,0.16,0.67,0.2,,0.2,none,11.5,,14.5,,,11.5,14.5,,,,,,,,,,,,,,,,,,,,
42,Scots pine,Pinus sylvestris,Plantae,Gymnosperms,Pinopsida,Pinales,Temperature and water limitation,Lab experiment,Offspring of clones from two populaitons,Half-sibs,broad sense,South population | 18?C,drought (temperature unclear as performances under 25 are good),drought,Height increment,Morphology,se,0.35,0.14,,0.14,0.49,0.16,,0.16,none,12.2,,16.3,,,12.2,16.3,,,,,,,,,,,,,,,,,,,,
42,Scots pine,Pinus sylvestris,Plantae,Gymnosperms,Pinopsida,Pinales,Temperature and water limitation,Lab experiment,Offspring of clones from two populaitons,Half-sibs,broad sense,South population | 18?C,drought (temperature unclear as performances under 25 are good),drought,Shoot dry weight,Morphology,se,0.49,0.16,,0.16,0.33,0.13,,0.13,none,23.3,,10.6,,,23.3,10.6,,,,,,,,,,,,,,,,,,,,
42,Scots pine,Pinus sylvestris,Plantae,Gymnosperms,Pinopsida,Pinales,Temperature and water limitation,Lab experiment,Offspring of clones from two populaitons,Half-sibs,broad sense,South population | 18?C,drought (temperature unclear as performances under 25 are good),drought,Root dry weight,Morphology,se,0.22,0.22,,0.22,0.21,0.11,,0.11,none,16.5,,13.7,,,16.5,13.7,,,,,,,,,,,,,,,,,,,,
42,Scots pine,Pinus sylvestris,Plantae,Gymnosperms,Pinopsida,Pinales,Temperature and water limitation,Lab experiment,Offspring of clones from two populaitons,Half-sibs,broad sense,South population | 18?C,drought (temperature unclear as performances under 25 are good),drought,Total dry weight,Morphology,se,0.46,0.16,,0.16,0.3,0.13,,0.13,none,19.2,,9.5,,,19.2,9.5,,,,,,,,,,,,,,,,,,,,
42,Scots pine,Pinus sylvestris,Plantae,Gymnosperms,Pinopsida,Pinales,Temperature and water limitation,Lab experiment,Offspring of clones from two populaitons,Half-sibs,broad sense,South population | 18?C,drought (temperature unclear as performances under 25 are good),drought,Root/shoot ratio,Morphology,se,0.03,0.06,,0.06,0.23,0.11,,0.11,none,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Scots pine,Pinus sylvestris,Plantae,Gymnosperms,Pinopsida,Pinales,Temperature and water limitation,Lab experiment,Offspring of clones from two populaitons,Half-sibs,broad sense,Central population | 25?C,drought (temperature unclear as performances under 25 are good),drought,Height,Morphology,se,0.52,0.15,,0.15,0.62,0.17,,0.17,none,14.8,,14,,,14.8,14,,,,,,,,,,,,,,,,,,,,
42,Scots pine,Pinus sylvestris,Plantae,Gymnosperms,Pinopsida,Pinales,Temperature and water limitation,Lab experiment,Offspring of clones from two populaitons,Half-sibs,broad sense,Central population | 25?C,drought (temperature unclear as performances under 25 are good),drought,Height increment,Morphology,se,0.38,0.13,,0.13,0.43,0.14,,0.14,none,14.8,,15.6,,,14.8,15.6,,,,,,,,,,,,,,,,,,,,
42,Scots pine,Pinus sylvestris,Plantae,Gymnosperms,Pinopsida,Pinales,Temperature and water limitation,Lab experiment,Offspring of clones from two populaitons,Half-sibs,broad sense,Central population | 25?C,drought (temperature unclear as performances under 25 are good),drought,Shoot dry weight,Morphology,se,0.61,0.17,,0.17,0.63,0.17,,0.17,none,36.1,,18.8,,,36.1,18.8,,,,,,,,,,,,,,,,,,,,
42,Scots pine,Pinus sylvestris,Plantae,Gymnosperms,Pinopsida,Pinales,Temperature and water limitation,Lab experiment,Offspring of clones from two populaitons,Half-sibs,broad sense,Central population | 25?C,drought (temperature unclear as performances under 25 are good),drought,Root dry weight,Morphology,se,0.23,0.1,,0.1,0.28,0.11,,0.11,none,24.8,,18.1,,,24.8,18.1,,,,,,,,,,,,,,,,,,,,
42,Scots pine,Pinus sylvestris,Plantae,Gymnosperms,Pinopsida,Pinales,Temperature and water limitation,Lab experiment,Offspring of clones from two populaitons,Half-sibs,broad sense,Central population | 25?C,drought (temperature unclear as performances under 25 are good),drought,Total dry weight,Morphology,se,0.48,0.14,,0.14,0.59,0.16,,0.16,none,31.5,,17.3,,,31.5,17.3,,,,,,,,,,,,,,,,,,,,
42,Scots pine,Pinus sylvestris,Plantae,Gymnosperms,Pinopsida,Pinales,Temperature and water limitation,Lab experiment,Offspring of clones from two populaitons,Half-sibs,broad sense,Central population | 25?C,drought (temperature unclear as performances under 25 are good),drought,Root/shoot ratio,Morphology,se,0.24,0.1,,0.1,0.04,0.06,,0.06,none,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Scots pine,Pinus sylvestris,Plantae,Gymnosperms,Pinopsida,Pinales,Temperature and water limitation,Lab experiment,Offspring of clones from two populaitons,Half-sibs,broad sense,South population | 25?C,drought (temperature unclear as performances under 25 are good),drought,Height,Morphology,se,0.47,0.16,,0.16,0.34,0.14,,0.14,none,13.7,,9.8,,,13.7,9.8,,,,,,,,,,,,,,,,,,,,
42,Scots pine,Pinus sylvestris,Plantae,Gymnosperms,Pinopsida,Pinales,Temperature and water limitation,Lab experiment,Offspring of clones from two populaitons,Half-sibs,broad sense,South population | 25?C,drought (temperature unclear as performances under 25 are good),drought,Height increment,Morphology,se,0.55,0.17,,0.17,0.51,0.17,,0.17,none,17.9,,16.3,,,17.9,16.3,,,,,,,,,,,,,,,,,,,,
42,Scots pine,Pinus sylvestris,Plantae,Gymnosperms,Pinopsida,Pinales,Temperature and water limitation,Lab experiment,Offspring of clones from two populaitons,Half-sibs,broad sense,South population | 25?C,drought (temperature unclear as performances under 25 are good),drought,Shoot dry weight,Morphology,se,0.19,0.1,,0.1,0.36,0.14,,0.14,none,18.2,,11.7,,,18.2,11.7,,,,,,,,,,,,,,,,,,,,
42,Scots pine,Pinus sylvestris,Plantae,Gymnosperms,Pinopsida,Pinales,Temperature and water limitation,Lab experiment,Offspring of clones from two populaitons,Half-sibs,broad sense,South population | 25?C,drought (temperature unclear as performances under 25 are good),drought,Root dry weight,Morphology,se,0.03,0.06,,0.06,0.19,0.1,,0.1,none,8.8,,14.6,,,8.8,14.6,,,,,,,,,,,,,,,,,,,,
42,Scots pine,Pinus sylvestris,Plantae,Gymnosperms,Pinopsida,Pinales,Temperature and water limitation,Lab experiment,Offspring of clones from two populaitons,Half-sibs,broad sense,South population | 25?C,drought (temperature unclear as performances under 25 are good),drought,Total dry weight,Morphology,se,0.08,0.08,,0.08,0.37,0.14,,0.14,none,11.9,,12.1,,,11.9,12.1,,,,,,,,,,,,,,,,,,,,
42,Scots pine,Pinus sylvestris,Plantae,Gymnosperms,Pinopsida,Pinales,Temperature and water limitation,Lab experiment,Offspring of clones from two populaitons,Half-sibs,broad sense,South population | 25?C,drought (temperature unclear as performances under 25 are good),drought,Root/shoot ratio,Morphology,se,0.09,0.08,,0.08,0.05,0.11,,0.11,none,,,,,,,,,,,,,,,,,,,,,,,,,,,
